,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
4134,FT,11,11,11,11,11,11,11,2,2,2
4135,FT,11,11,11,11,11,11,11,2,1,2
4136,FT,11,11,11,11,11,11,11,2,2,2
4137,FT,11,10,10,10,10,10,10,1,1,1
4138,FT,11,11,11,11,11,11,11,2,2,2
4139,FT,10,10,10,10,10,10,10,1,1,1
4140,FT,10,10,10,10,10,10,10,1,2,1
4141,FT,11,11,11,11,11,11,11,2,2,2
4142,FT,11,11,11,11,10,10,11,2,2,2
4143,FT,10,10,10,10,10,10,10,0,0,0
4144,FT,10,11,11,11,11,11,11,3,3,3
4145,FT,11,11,11,11,11,11,11,2,3,2
4146,FT,11,11,11,11,11,11,11,1,1,1
4147,FT,10,10,10,10,10,10,10,2,2,2
4148,FT,11,11,11,11,11,11,11,2,2,2
4149,FT,10,10,10,10,10,10,10,1,1,1
4150,FT,11,11,11,11,11,11,11,2,2,2
4151,FT,11,11,10,10,10,10,10,1,1,1
4152,FT,10,10,10,10,10,10,10,1,1,1
4153,FT,10,10,10,10,10,10,10,0,0,0
4154,FT,10,10,10,10,10,10,11,1,0,1
4155,FT,11,11,11,11,11,11,11,3,3,3
4156,FT,11,10,10,10,10,10,10,2,3,2
4157,FT,11,10,10,11,10,11,10,1,1,1
4158,FT,11,11,11,11,11,11,11,2,2,2
4159,FT,10,10,10,10,10,10,10,1,1,1
4160,FT,11,11,11,11,11,11,11,2,2,2
4161,FT,11,11,11,11,11,10,10,1,1,1
4162,FT,10,11,11,11,11,11,11,2,2,2
4163,FT,11,11,11,11,11,11,11,2,2,2
4164,FT,10,10,10,10,10,10,10,1,1,1
4165,FT,10,10,10,10,10,11,11,2,1,2
4166,FT,10,10,10,11,11,11,11,2,1,2
4167,FT,11,11,11,11,10,10,11,1,2,1
4168,FT,10,10,10,11,11,10,11,1,1,1
4169,FT,10,11,11,11,11,11,11,2,2,2
4170,FT,11,10,10,10,10,10,10,1,1,1
4171,FT,11,11,11,11,11,10,10,1,1,1
4172,FT,10,10,10,10,10,10,10,1,1,1
4173,FT,10,10,10,10,10,10,10,1,0,0
4174,FT,11,11,11,11,11,11,11,3,3,3
4175,FT,10,10,10,10,10,10,10,1,1,1
4176,FT,11,11,11,11,11,11,11,2,2,2
4177,FT,11,11,11,11,11,11,11,2,2,2
4178,FT,11,11,11,10,10,11,11,2,1,2
4179,FT,11,11,11,11,11,11,11,2,2,2
4180,FT,10,10,10,10,10,10,10,1,1,1
4181,FT,10,11,11,11,11,11,11,2,2,2
4182,FT,10,10,10,10,10,10,10,0,0,0
4183,FT,10,10,10,10,10,10,10,1,0,0
4184,FT,11,11,11,11,11,11,11,3,3,3
4185,FT,11,11,11,11,11,10,10,2,3,2
4186,FT,11,10,10,10,10,10,10,1,1,1
4187,FT,10,10,10,10,10,10,10,1,2,1
4188,FT,11,11,11,11,11,11,11,2,2,2
4189,FT,10,10,10,10,10,10,10,1,1,1
4190,FT,10,11,11,11,11,11,11,2,2,2
4191,FT,11,10,11,11,11,11,10,1,2,1
4192,FT,10,10,11,10,10,10,10,1,1,1
4193,FT,11,11,11,11,11,11,11,2,2,2
4194,FT,11,10,10,10,10,10,10,1,1,1
4195,FT,10,11,11,11,11,11,11,2,2,2
4196,FT,11,11,11,11,11,11,11,2,2,2
4197,FT,10,10,10,10,10,10,10,1,1,1
4198,FT,10,11,11,11,11,11,11,2,2,2
4199,FT,11,11,11,11,11,10,10,1,1,1
4200,FT,10,10,11,11,11,11,11,2,2,2
4201,FT,10,10,10,10,10,10,10,0,0,0
4202,FT,10,10,11,10,10,11,11,2,0,2
4203,FT,11,11,11,11,11,11,11,3,3,3
4204,FT,11,11,11,11,11,11,11,1,1,1
4205,FT,10,11,11,11,11,11,11,2,2,2
4206,FT,11,10,10,10,10,10,10,1,1,1
4207,FT,10,11,11,11,11,11,11,2,2,2
4208,FT,11,11,10,10,10,10,10,1,1,1
4209,FT,10,10,10,10,10,10,10,1,2,1
4210,FT,10,10,10,10,10,10,10,1,1,1
4211,FT,10,10,10,10,10,10,10,0,1,0
4212,FT,10,10,10,10,10,10,10,1,0,1
4213,FT,11,11,11,11,11,11,11,3,3,3
4214,FT,11,11,11,11,11,11,10,2,3,2
4215,FT,11,10,10,10,10,10,10,1,1,1
4216,FT,10,10,10,10,10,11,11,2,1,1
4217,FT,10,10,10,10,10,10,10,1,2,1
4218,FT,11,11,11,11,11,11,11,2,2,2
4219,FT,11,11,11,11,11,11,11,2,2,2
4220,FT,11,10,10,10,10,10,10,1,1,1
4221,FT,10,11,11,11,11,11,11,2,2,2
4222,FT,10,10,10,10,10,10,10,1,1,1
4223,FT,10,11,11,11,11,11,11,2,2,2
4224,FT,11,11,11,11,11,11,11,2,2,2
4225,FT,10,10,10,10,10,10,10,1,1,1
4226,FT,11,11,11,11,11,11,11,2,2,2
4227,FT,10,10,10,10,10,10,10,1,1,1
4228,FT,10,10,10,10,10,10,10,1,1,1
4229,FT,11,11,11,11,11,11,11,2,2,2
4230,FT,10,10,10,10,10,10,10,1,0,1
4231,FT,10,11,11,10,10,11,11,2,1,2
4232,FT,11,10,11,11,11,11,10,2,2,2
4233,FT,11,11,11,11,11,11,11,2,2,2
4234,FT,11,11,11,11,11,11,11,2,2,2
4235,FT,10,10,10,10,10,10,10,1,1,1
4236,FT,10,10,10,11,11,11,11,2,2,2
4237,FT,11,11,11,11,11,11,11,2,2,2
4238,FT,10,10,10,10,10,10,10,1,1,1
4239,FT,10,10,10,10,11,11,11,2,2,2
4240,FT,10,10,10,10,10,10,10,0,0,0
4241,FT,10,10,10,10,10,10,10,1,0,0
4242,FT,11,11,11,11,11,11,11,3,3,3
4243,FT,11,11,11,11,11,10,10,2,3,2
4244,FT,11,11,11,11,11,11,11,2,2,2
4245,FT,10,10,10,10,10,10,10,1,1,1
4246,FT,11,11,11,11,11,11,11,2,2,2
4247,FT,11,10,10,10,10,10,10,1,1,1
4248,FT,10,11,10,11,11,11,11,2,1,2
4249,FT,11,11,11,11,11,11,11,2,2,2
4250,FT,10,11,11,10,10,10,11,1,1,1
4251,FT,11,11,11,11,11,11,11,2,2,2
4252,FT,11,10,10,10,10,10,10,1,1,1
4253,FT,10,10,11,11,11,11,11,1,2,2
4254,FT,10,10,10,10,10,10,10,1,1,1
4255,FT,11,11,11,11,11,11,11,2,2,2
4256,FT,11,11,11,11,11,11,11,2,2,2
4257,FT,11,10,10,10,10,10,10,1,1,1
4258,FT,10,11,11,11,11,11,11,2,2,2
4259,FT,10,10,10,10,10,10,10,1,1,1
4260,FT,10,10,10,10,10,10,11,1,1,1
4261,FT,11,11,11,11,11,11,11,2,2,2
4262,FT,10,10,10,10,10,10,10,1,1,1
4263,FT,11,11,11,11,11,11,11,2,2,2
4264,FT,11,11,11,11,11,11,10,1,2,1
4265,FT,10,10,10,10,10,10,11,1,1,1
4266,FT,10,10,10,10,10,10,10,1,1,1
4267,FT,10,10,10,10,10,10,10,1,1,1
4268,FT,10,10,10,10,10,10,10,1,1,1
4269,FT,10,10,10,10,10,10,10,0,0,0
4270,FT,10,10,10,10,10,11,11,1,0,1
4271,FT,11,11,11,11,11,11,11,2,3,3
4272,FT,11,11,11,11,11,11,11,3,3,3
4273,FT,11,10,10,10,10,10,10,1,1,1
4274,FT,10,10,10,11,11,11,10,1,2,1
4275,FT,10,10,10,10,10,10,10,1,1,1
4276,FT,11,11,11,11,11,11,11,2,2,2
4277,FT,11,11,10,10,10,11,11,2,1,2
4278,FT,10,10,10,10,10,10,10,1,1,1
4279,FT,10,10,10,10,10,10,11,1,2,1
4280,FT,11,11,11,11,11,11,11,2,2,2
4281,FT,11,10,10,10,10,10,10,1,1,1
4282,FT,11,11,11,11,11,11,11,2,2,2
4283,FT,11,10,10,10,10,10,10,1,1,1
4284,FT,10,10,10,10,10,10,10,1,1,1
