,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
628,BT,0,0,3,1,2,0,3
629,BT,0,1,0,0,1,1,0
630,BT,127,3,1,3,0,3,1
631,BT,0,0,3,1,3,0,3
632,BT,112,2,0,1,1,2,0
633,BT,127,3,2,3,1,3,2
634,BT,0,0,3,1,3,0,3
635,BT,96,2,0,0,1,2,0
636,BT,127,3,2,3,0,3,2
637,BT,0,0,3,1,3,0,3
638,BT,0,2,0,0,1,1,0
639,BT,127,3,2,3,0,3,1
640,BT,0,0,3,3,3,1,3
641,BT,0,2,0,0,3,1,1
642,BT,0,2,2,2,0,2,1
643,BT,127,2,2,3,2,2,2
644,BT,0,1,2,0,3,1,2
645,BT,60,2,1,2,0,2,1
646,BT,127,3,2,3,2,3,2
647,BT,0,0,3,0,3,0,3
648,BT,0,2,0,1,0,1,0
649,BT,127,3,2,3,1,3,1
650,BT,0,0,3,0,3,0,3
651,BT,64,2,0,0,0,1,0
652,BT,127,3,2,3,0,3,1
653,BT,0,0,3,0,3,0,3
654,BT,0,1,0,1,0,1,0
655,BT,127,3,1,3,1,3,1
656,BT,0,0,3,0,3,0,3
657,BT,0,1,0,1,0,1,0
658,BT,127,3,1,3,1,3,1
659,BT,0,0,3,0,3,0,3
660,BT,96,2,0,1,0,2,0
661,BT,127,3,2,3,1,3,2
662,BT,0,0,3,1,3,0,3
663,BT,96,2,0,1,1,2,0
664,BT,127,3,2,3,1,3,2
665,BT,0,0,3,1,3,0,3
666,BT,0,2,0,0,1,2,0
667,BT,127,3,2,3,0,3,2
668,BT,0,0,3,2,3,0,3
669,BT,0,2,0,1,2,2,0
670,BT,41,2,2,2,1,1,2
671,BT,127,1,2,3,2,2,1
672,BT,0,2,1,1,3,2,2
673,BT,0,2,2,2,1,2,2
674,BT,127,3,2,3,2,3,2
675,BT,0,0,3,0,3,0,3
676,BT,0,2,0,2,0,2,0
677,BT,127,3,2,3,2,3,2
678,BT,0,0,3,0,3,0,3
679,BT,0,2,0,1,0,1,0
680,BT,127,3,2,3,1,3,1
681,BT,0,0,3,0,3,0,3
682,BT,0,2,0,1,0,2,0
683,BT,127,3,2,3,1,3,2
684,BT,0,0,3,0,3,0,3
685,BT,0,1,0,0,0,1,0
686,BT,127,3,1,3,0,3,1
687,BT,0,0,3,0,3,0,3
688,BT,0,1,0,1,0,1,0
689,BT,127,3,1,3,1,3,1
690,BT,0,0,3,0,3,0,3
691,BT,0,1,0,0,0,1,0
692,BT,127,3,1,3,0,3,1
693,BT,1,0,3,0,3,0,3
694,BT,0,1,0,1,0,1,0
695,BT,127,3,1,3,1,3,1
696,BT,1,0,3,0,3,0,3
697,BT,0,1,0,1,0,1,0
698,BT,127,3,1,3,1,3,1
699,BT,0,0,3,0,3,0,3
700,BT,0,1,0,0,0,1,0
701,BT,127,3,1,3,0,3,1
702,BT,0,0,3,0,3,0,3
703,BT,0,1,0,0,0,1,0
704,BT,127,3,1,3,0,3,1
705,BT,0,0,3,0,3,0,3
706,BT,0,1,0,0,0,1,0
707,BT,127,3,1,3,0,3,1
708,BT,0,0,3,0,3,0,3
709,BT,0,1,0,3,0,1,0
710,BT,127,3,1,3,3,3,1
711,BT,0,0,3,0,3,0,3
712,BT,0,1,0,0,0,1,0
713,BT,127,3,1,3,0,3,1
714,BT,0,0,3,0,3,0,3
715,BT,0,1,0,1,0,1,0
716,BT,127,3,1,3,1,3,1
717,BT,0,0,3,0,3,0,3
718,BT,96,2,0,1,0,2,0
719,BT,127,3,2,3,1,3,2
